x,y;z;a;
-3.175;17.423;4.680;18.318
1.681;4.954;-0.013;5.231
-26.102;6.055;-5.539;27.361
-8.365;2.023;2.582;8.986
6.268;4.417;10.943;13.362
4.238;-2.363;2.410;5.418
3.290;1.621;2.180;4.266
14.169;5.797;6.787;16.746
20.106;2.081;8.443;21.906
10.874;-3.436;-4.629;12.308
4.343;2.100;0.160;4.827
4.602;14.588;4.029;15.818
8.088;0.424;1.088;8.171
7.714;1.822;0.322;7.933
9.591;4.552;1.625;10.740
6.814;1.688;-2.062;7.316
9.093;0.338;-4.217;10.029
7.791;1.458;-5.529;9.664
11.516;3.029;-4.006;12.564
0.598;6.946;-8.191;10.756
18.028;7.683;-3.690;19.942
3.146;8.564;-0.118;9.124
4.889;7.358;-0.444;8.845
4.467;10.202;-2.053;11.325
7.120;-0.505;-0.702;7.173
8.576;11.437;1.098;14.337
6.967;7.204;1.529;10.138
7.034;3.393;-2.101;8.087
0.416;1.793;-0.099;1.844
12.742;4.054;-0.990;13.408
8.212;1.678;-0.683;8.410
10.319;1.611;1.577;10.562
8.145;2.770;3.492;9.285
9.591;3.613;-2.781;10.620
4.238;7.990;-0.693;9.070
11.305;3.651;-3.116;12.282
5.808;5.404;-6.132;10.027
6.565;1.066;-6.381;9.217
5.013;-1.626;-6.966;8.735
5.301;4.580;-6.372;9.470
4.314;6.831;-1.267;8.178
9.744;2.071;-1.220;10.036
6.603;5.605;-3.872;9.487
6.364;3.843;-3.384;8.168
7.848;4.781;-2.819;9.612
6.890;5.864;-2.254;9.324
7.590;5.701;-1.210;9.569
9.285;3.038;-2.177;10.009
7.341;6.735;-0.712;9.988
1.767;3.393;0.619;3.875
2.954;7.626;1.500;8.314
3.108;9.627;4.536;11.087
3.414;8.392;1.069;9.123
2.447;7.654;-1.114;8.113
-5.205;-27.301;17.225;32.698
1.307;-1.951;0.485;2.398
-10.348;16.647;6.700;20.715
1.939;10.259;11.518;15.546
-4.908;5.002;6.863;9.809
-5.866;2.100;10.962;12.609
-6.871;1.966;8.683;11.246
-0.206;2.253;11.087;11.315
-4.698;5.375;5.513;9.019
-0.972;5.030;9.076;10.422
3.050;9.321;2.400;10.097
-0.196;8.842;-0.109;8.845
2.112;8.344;4.029;9.503
3.021;4.695;4.536;7.194
5.981;-7.621;5.245;11.016
2.926;2.828;5.302;6.683
5.396;1.439;8.118;9.854
1.767;2.205;9.296;9.716
1.240;5.030;7.945;9.485
0.646;5.241;8.970;10.409
0.330;4.513;5.762;7.327
0.273;5.576;7.055;8.997
5.186;3.268;13.557;14.879
0.579;12.433;7.850;14.715
2.820;4.609;8.597;10.154
1.604;2.703;2.477;4.002
21.696;38.329;2.400;44.109
-4.257;7.482;8.137;11.845
-2.543;-0.323;-1.651;3.049
5.703;6.237;2.975;8.960
19.312;-3.905;11.048;22.589
14.006;3.249;4.613;15.100
-4.812;-3.368;-0.865;5.938
0.388;2.828;-1.890;3.423
-4.200;15.000;-7.741;17.394
-4.123;7.051;7.878;11.348
0.378;-2.009;2.611;3.316
7.685;6.821;4.469;11.206
0.522;11.025;0.533;11.051
1.470;-6.031;8.281;10.349
-1.346;10.432;-2.101;10.726
0.005;8.210;1.404;8.329
0.733;9.828;0.447;9.866
-0.158;13.151;4.105;13.778
-1.192;5.911;2.860;6.674
-4.353;10.326;2.879;11.570
-5.923;5.701;4.086;9.180
-0.024;8.468;11.872;14.583
3.730;7.147;0.447;8.074
-10.501;9.589;-18.458;23.300
5.866;32.679;-2.034;33.263
1.317;5.404;-0.358;5.573
15.155;16.953;10.742;25.149
5.760;7.539;1.615;9.625
8.279;5.538;1.816;10.125
9.773;-0.218;3.435;10.361
8.911;5.279;-0.386;10.365
6.584;5.433;-0.645;8.560
7.752;8.813;0.035;11.738
5.253;5.490;0.581;7.620
4.266;7.099;1.922;8.502
1.681;10.518;-2.752;11.001
8.547;10.298;6.882;15.049
1.125;-0.467;-1.727;2.113
7.896;21.426;1.807;22.906
2.782;7.626;-6.037;10.116
3.376;7.769;-9.245;12.539
8.011;3.872;1.941;9.107
-4.860;-6.989;5.513;10.142
2.514;-6.356;-0.453;6.851
3.175;-8.502;5.111;10.415
-5.282;4.848;10.512;12.724
-5.550;12.452;-1.430;13.708
4.812;-4.288;8.252;10.471
2.341;27.756;1.625;27.902
0.148;12.472;0.744;12.495
1.125;7.798;-0.109;7.880
-3.299;9.982;6.011;12.110
13.824;21.933;13.500;29.231
5.320;5.011;1.203;7.407
4.458;7.568;2.918;9.255
-2.428;3.287;0.274;4.096
6.852;19.070;-3.604;20.582
1.441;8.133;2.592;8.657
1.671;7.252;0.092;7.443
0.905;10.508;-1.813;10.702
-0.532;9.541;0.696;9.581
2.045;8.631;1.663;9.025
0.742;9.148;1.816;9.356
2.054;8.909;3.080;9.648
2.945;6.706;4.603;8.651
3.108;6.601;6.451;9.739
2.399;8.660;4.364;9.990
1.633;10.173;3.981;11.046
2.801;4.006;2.946;5.707
5.559;6.285;2.669;8.805
2.916;8.066;-3.106;9.122
-0.263;9.694;-5.931;11.368
0.321;7.578;-5.682;9.477
3.558;6.122;1.309;7.201
5.866;-0.457;5.025;7.737
1.039;9.675;-3.010;10.186
6.929;13.056;0.313;14.784
9.649;4.619;-1.593;10.815
18.009;19.434;9.621;28.188
5.387;7.128;4.967;10.222
5.981;6.046;4.105;9.443
5.961;5.758;3.856;9.141
5.435;6.160;4.249;9.249
4.927;6.362;4.402;9.172
5.310;7.089;3.942;9.695
4.841;6.649;4.076;9.179
5.320;6.524;4.364;9.482
6.076;5.615;6.193;10.334
4.104;-3.474;6.040;8.086
6.191;-3.292;2.745;7.530
5.291;0.252;4.134;6.719
7.197;-2.851;5.743;9.639
6.900;-3.761;8.137;11.312
3.222;-2.622;7.476;8.553
2.332;-7.065;10.866;13.169
5.349;-3.905;7.074;9.690
4.563;-2.497;7.898;9.457
4.065;-4.221;8.204;10.082
3.510;-0.275;6.911;7.756
9.103;0.692;8.424;12.422
10.424;-2.938;5.503;12.148
6.268;-0.687;7.840;10.061
2.284;7.099;5.274;9.134
1.719;7.041;4.009;8.283
1.068;-0.007;-1.488;1.831
0.024;11.801;2.898;12.152
0.081;7.549;2.180;7.858
-0.321;10.288;0.476;10.304
-0.311;9.474;-0.338;9.485
0.627;10.508;-0.319;10.532
0.005;9.024;0.198;9.026
-0.781;9.800;1.778;9.990
-3.012;6.869;5.379;9.230
-3.204;6.792;4.536;8.774
-1.116;7.290;5.427;9.157
-0.714;6.678;5.360;8.592
3.347;5.864;9.564;11.707
6.718;8.871;8.616;14.073
-0.196;4.848;5.178;7.096
3.328;2.244;8.482;9.383
6.479;9.733;8.214;14.288
4.448;4.006;4.833;7.694
4.918;3.910;9.411;11.315
0.388;5.203;5.685;7.716
-1.872;7.674;3.626;8.691
-1.978;9.685;3.329;10.430
-1.882;9.599;1.740;9.935
-3.079;8.028;2.621;8.989
-1.757;10.039;5.762;11.708
0.551;6.017;4.948;7.809
-1.192;6.735;4.201;8.027
3.232;36.107;1.778;36.295
0.120;-1.558;10.981;11.092
-0.618;-0.974;9.133;9.206
-0.321;-0.735;9.526;9.559
-0.359;-0.965;9.392;9.448
-0.417;-0.955;9.717;9.773
-0.398;-0.869;9.755;9.802
-0.398;-0.792;9.257;9.300
-0.426;-0.697;9.660;9.694
-0.350;-1.041;10.129;10.188
-0.254;-1.060;9.593;9.654
-0.235;-0.907;9.861;9.905
-0.388;-1.338;9.325;9.428
-0.177;-0.630;9.506;9.529
-0.369;-0.773;9.679;9.717
-0.292;-1.329;9.717;9.812
-0.484;-0.649;10.072;10.104
0.177;-1.051;9.717;9.775
-0.570;-0.735;8.961;9.009
-0.168;-0.562;8.788;8.808
-0.139;-1.175;9.842;9.913
-0.733;-0.687;9.210;9.264
-0.474;-0.744;9.143;9.185
-0.350;-0.591;8.884;8.910
-0.426;-0.859;9.353;9.402
-0.187;-0.907;9.210;9.256
0.129;1.535;-0.520;1.626
-15.759;17.672;-0.865;23.693
-15.759;17.672;-0.865;23.693
-15.759;17.672;-0.865;23.693
4.286;2.253;3.396;5.914
-5.483;7.348;1.797;9.343
-5.234;4.159;-6.056;9.020
2.514;3.441;4.910;6.501
-1.805;1.688;1.730;3.017
0.081;0.979;-0.501;1.103
0.273;12.280;0.638;12.300
6.670;1.315;8.003;10.501
5.425;4.829;5.226;8.948
2.686;4.762;6.241;8.297
3.088;6.917;4.488;8.805
3.366;4.274;2.879;6.155
4.582;8.124;-2.522;9.662
5.042;7.051;0.907;8.716
6.086;7.664;0.265;9.790
5.531;4.877;0.993;7.440
5.234;6.218;-0.501;8.143
5.732;6.860;2.276;9.224
8.327;4.590;2.927;9.949
3.443;8.727;-0.999;9.435
2.677;5.873;-6.305;9.023
2.648;2.799;-8.383;9.226
2.207;5.088;-7.483;9.314
1.939;4.954;-7.799;9.440
2.054;8.296;-6.899;10.983
2.150;6.754;-5.826;9.175
0.876;7.846;-2.685;8.339
2.303;7.281;-5.002;9.129
1.633;8.430;-4.514;9.701
1.882;12.031;-2.599;12.451
1.211;10.585;-3.125;11.103
-3.759;17.624;-26.617;32.144
1.786;8.066;-3.269;8.885
2.198;6.840;-5.548;9.078
3.711;7.338;-5.615;9.958
4.008;6.754;-4.658;9.131
2.897;7.396;-3.690;8.758
2.552;6.898;-4.811;8.789
2.801;7.769;-3.815;9.097
2.801;8.717;-2.062;9.386
2.571;8.018;1.184;8.503
2.121;7.022;3.224;8.013
2.380;9.742;1.826;10.193
3.759;8.861;1.376;9.723
2.514;8.152;0.341;8.538
3.328;9.273;-0.243;9.855
3.366;8.919;0.696;9.558
3.404;7.367;1.242;8.210
3.184;8.861;0.638;9.437
3.500;8.717;0.734;9.423
2.064;8.143;1.203;8.486
2.763;8.497;-0.252;8.939
3.433;8.938;-0.722;9.602
2.725;8.449;-1.095;8.945
2.849;8.813;0.284;9.267
2.543;8.603;1.347;9.071
2.878;8.315;1.404;8.910
-2.648;23.868;11.604;26.671
-7.800;5.500;-1.651;9.686
-3.692;3.939;5.609;7.785
-6.804;-2.813;8.491;11.239
-5.588;1.755;6.097;8.455
-6.402;3.986;6.614;10.031
-5.320;6.850;6.921;11.096
-5.033;5.299;7.103;10.191
-3.347;6.476;8.941;11.537
-3.826;4.331;4.258;7.179
-5.033;5.662;5.398;9.302
-1.652;8.421;6.815;10.958
-2.169;5.413;6.672;8.861
-3.261;6.764;7.179;10.389
-1.528;5.164;6.423;8.382
-0.388;3.354;7.773;8.475
-3.309;9.608;2.228;10.403
3.280;7.808;7.649;11.411
-0.455;3.632;5.532;6.634
-2.198;4.791;8.309;9.840
0.800;9.062;3.684;9.815
0.235;9.378;4.565;10.433
-1.125;8.555;2.946;9.118
0.177;7.061;2.717;7.567
1.001;7.817;4.852;9.255
0.120;8.181;3.904;9.066
-3.462;17.308;-17.692;24.991
17.482;8.852;6.308;20.586
17.482;8.852;6.308;20.586
17.482;8.852;6.308;20.586
17.482;8.852;6.308;20.586
17.482;8.852;6.308;20.586
17.482;8.852;6.308;20.586
17.482;8.852;6.308;20.586
-5.722;8.526;-2.254;10.513
-5.971;5.212;-2.378;8.275
-6.689;7.214;-2.196;10.080
-3.175;9.531;4.900;11.178
-3.175;9.531;4.900;11.178
-3.175;9.531;4.900;11.178
-3.175;9.531;4.900;11.178
-3.175;9.531;4.900;11.178
-3.175;9.531;4.900;11.178
-3.175;9.531;4.900;11.178
-3.175;9.531;4.900;11.178
-3.175;9.531;4.900;11.178
-3.175;9.531;4.900;11.178
-3.175;9.531;4.900;11.178
-3.175;9.531;4.900;11.178
-3.175;9.531;4.900;11.178
-3.175;9.531;4.900;11.178
-3.175;9.531;4.900;11.178
2.495;27.316;7.639;28.473
0.215;7.875;-5.414;9.559
3.807;6.888;-3.432;8.586
6.354;3.402;2.956;7.790
5.760;7.118;0.054;9.157
4.410;7.798;0.543;8.975
4.410;7.798;0.543;8.975
4.410;7.798;0.543;8.975
4.410;7.798;0.543;8.975
4.410;7.798;0.543;8.975
4.286;8.401;1.357;9.528
5.186;7.051;-0.597;8.773
5.387;7.693;-0.262;9.395
2.820;15.220;-5.079;16.291
2.820;15.220;-5.079;16.291
2.820;15.220;-5.079;16.291
2.820;15.220;-5.079;16.291
2.820;15.220;-5.079;16.291
2.820;15.220;-5.079;16.291
2.820;15.220;-5.079;16.291
2.820;15.220;-5.079;16.291
2.820;15.220;-5.079;16.291
2.820;15.220;-5.079;16.291
2.820;15.220;-5.079;16.291
2.820;15.220;-5.079;16.291
4.420;5.078;3.396;7.540
0.148;1.161;-0.348;1.221
7.206;7.511;0.169;10.410
2.801;8.593;-0.022;9.038
9.629;4.389;1.041;10.633
6.182;6.534;0.332;9.001
4.726;8.957;1.472;10.234
10.194;6.505;1.979;12.254
5.042;5.653;5.283;9.235
12.186;9.187;3.971;15.769
10.664;-8.023;4.258;14.008
9.390;4.791;3.186;11.012
4.238;-1.444;2.764;5.261
4.391;4.599;4.756;7.941
6.019;5.816;2.573;8.756
5.808;8.871;-0.204;10.605
3.242;9.847;2.037;10.565
3.931;5.749;1.807;7.195
2.792;6.611;3.875;8.155
6.105;1.832;7.036;9.494
3.682;7.080;5.704;9.809
3.625;5.816;6.394;9.373
3.586;5.643;6.308;9.192
4.238;5.346;6.126;9.169
3.931;5.873;5.810;9.149
4.161;6.371;5.302;9.275
3.596;7.568;6.423;10.557
-0.216;0.280;-1.430;1.473
9.955;8.191;8.568;15.479
7.752;4.915;2.458;9.503
12.627;3.910;9.516;16.287
6.086;1.410;-5.328;8.211
5.894;6.946;5.312;10.545
7.034;4.686;5.953;10.338
5.205;5.394;-1.909;7.735
10.079;1.027;-1.469;10.238
10.635;6.065;3.128;12.636
12.167;-1.348;-0.425;12.249
7.542;-1.587;-2.436;8.083
8.691;-0.132;-2.350;9.004
7.906;6.275;-5.778;11.630
13.575;-0.246;-1.133;13.624
0.464;-0.601;-0.425;0.870
-7.331;12.251;2.927;14.574
0.972;4.839;5.637;7.493
9.658;4.408;-1.085;10.672
6.488;13.468;-4.610;15.644
3.586;9.101;-1.018;9.835
7.245;3.038;2.420;8.220
9.371;1.746;2.621;9.886
10.731;0.845;1.462;10.863
9.409;-2.602;0.361;9.769
10.156;-3.560;3.521;11.323
8.806;-1.760;1.874;9.173
9.380;-2.056;2.420;9.903
8.767;1.698;2.046;9.162
9.055;3.948;0.150;9.879
8.882;1.611;1.251;9.114
7.226;4.140;2.132;8.596
6.651;4.695;5.398;9.768
5.013;4.427;5.197;8.470
3.108;8.478;3.799;9.796
3.194;7.252;2.381;8.274
1.910;4.322;-3.623;5.954
5.894;10.901;-0.856;12.422
3.222;17.432;1.184;17.767
2.188;8.296;0.926;8.630
-3.692;4.791;7.179;9.388
-4.152;4.619;0.926;6.279
11.219;21.627;-10.365;26.477
0.215;25.726;3.262;25.933
15.893;13.151;2.065;20.732
-0.359;6.409;0.054;6.420
-1.097;7.942;3.588;8.783
-2.715;11.734;-1.402;12.125
4.582;5.107;-3.183;7.564
-2.169;4.389;-11.055;12.090
-3.108;20.688;-1.287;20.960
15.337;6.285;-3.719;16.987
-1.288;6.582;3.004;7.349
10.577;14.033;1.998;17.686
7.992;5.672;0.466;9.811
7.044;2.234;-2.646;7.849
6.258;5.480;8.922;12.199
12.474;-1.913;-3.911;13.212
4.218;5.260;1.998;7.033
12.991;-0.256;-5.376;14.062
7.724;6.323;-0.827;10.016
3.740;3.939;-6.535;8.497
3.376;5.682;-6.669;9.389
5.186;-1.041;-4.169;6.735
5.655;12.797;-7.512;15.880
9.438;-3.790;1.558;10.289
5.061;9.713;-6.132;12.553
8.700;6.687;0.907;11.011
3.050;25.965;6.088;26.843
2.265;6.955;-2.330;7.677
11.918;14.674;-2.072;19.018
13.374;7.645;-2.263;15.570
0.053;6.323;0.878;6.384
6.929;10.729;5.819;14.035
4.410;18.380;-0.377;18.906
1.958;6.994;-1.248;7.369
3.586;13.151;-1.449;13.709
6.230;-3.570;2.458;7.589
4.094;7.109;-5.136;9.679
5.837;8.267;-3.087;10.581
5.425;4.954;1.855;7.577
5.320;10.767;-1.871;12.154
3.558;8.679;-1.085;9.443
2.964;7.990;-2.196;8.800
3.893;11.380;-2.426;12.269
0.953;6.946;0.198;7.014
5.033;7.080;-2.579;9.061
5.100;0.012;2.266;5.581
13.767;5.816;-0.808;14.966
10.214;2.215;0.935;10.493
9.467;3.354;-0.501;10.056
6.680;4.810;0.064;8.232
-0.512;-0.572;-0.980;1.245
13.249;1.573;-1.325;13.408
4.046;38.329;5.590;38.945
-1.403;-10.273;3.387;10.908
2.102;-7.391;5.360;9.368
1.412;-8.224;4.517;9.488
1.882;-8.387;3.981;9.472
1.719;-8.444;3.665;9.364
1.537;-8.674;3.368;9.431
1.575;-8.779;3.033;9.421
1.594;-8.502;3.004;9.157
1.623;-8.368;3.444;9.193
1.997;-8.550;3.511;9.456
1.719;-8.425;3.894;9.439
1.604;-7.515;3.396;8.402
2.236;4.379;3.713;6.161
7.388;14.894;-2.599;16.828
7.350;16.206;0.045;17.795
7.417;13.889;-0.942;15.773
-1.681;-4.556;2.879;5.646
-0.120;-7.774;-1.133;7.857
1.470;-9.603;1.682;9.859
0.512;-8.971;1.864;9.177
0.780;-9.440;1.912;9.663
0.541;-9.153;2.008;9.386
0.493;-9.335;2.161;9.594
0.685;-9.172;2.151;9.446
0.685;-9.191;2.132;9.460
-4.410;36.184;12.715;38.605
3.625;7.942;5.226;10.174
2.341;7.089;5.178;9.086
2.303;7.358;5.044;9.213
2.313;7.405;5.235;9.359
1.997;7.262;5.159;9.129
2.332;7.128;5.417;9.251
2.207;6.946;5.494;9.127
1.499;7.405;5.408;9.291
1.298;7.233;4.938;8.854
1.901;7.520;6.078;9.854
0.857;7.875;5.484;9.634
3.625;8.325;3.550;9.749
3.433;9.915;-4.169;11.290
-0.618;9.101;-1.143;9.193
1.920;9.493;-0.224;9.688
0.905;8.698;0.236;8.748
0.244;10.240;-2.005;10.437
0.847;9.359;-0.319;9.403
1.661;8.631;0.533;8.806
1.451;9.177;0.236;9.294
1.374;9.148;0.303;9.256
1.393;9.120;0.667;9.250
1.374;9.148;0.658;9.274
1.441;9.101;0.658;9.237
1.259;9.139;0.571;9.243
1.470;1.248;0.351;1.960
7.341;9.014;-1.478;11.719
2.456;16.446;2.793;16.861
-4.094;9.828;1.213;10.716
-2.217;12.136;5.235;13.402
-1.125;15.191;6.155;16.429
3.491;-5.973;8.530;10.983
-0.417;8.727;5.053;10.093
-6.642;10.834;2.420;12.936
-3.711;13.563;1.481;14.140
-2.485;6.084;4.258;7.831
-2.792;6.898;5.379;9.182
-2.390;6.074;5.092;8.278
-2.217;5.356;6.049;8.378
-3.318;7.568;7.007;10.835
-1.384;6.275;8.012;10.271
-1.872;5.969;6.729;9.188
-2.571;4.935;8.137;9.858
-2.591;4.216;7.725;9.174
-2.313;4.829;5.408;7.610
-4.669;6.946;8.740;12.101
-2.715;0.271;5.915;6.514
-2.188;-5.916;9.976;11.803
-2.935;1.286;9.736;10.250
-3.318;2.521;8.932;9.856
-2.926;3.776;8.032;9.345
